Conti e Carte:;Conto 0000/00000000;;;;;;;
XME CARD PLUS MC PRENOTABILE ****0000;;;;;;;
Finanziamento:;-;;;;;;;
Investimenti e previdenza:;Deposito Amministrato 0000/00000000;;;;;;;
I movimenti selezionati sono:;11;Tipo operazione: ;Operazioni titoli;;;;;
Entrate/Uscite:;-;;;;;
Data inizio periodo:;25/07/2025;;;;;;;
Data fine periodo:;25/07/2026;;;;;;;
Data;Operazione;Dettagli;Conto o carta;Contabilizzazione;Categoria ;Valuta;Importo;;
01/07/2026;Commissione Di Gest. E Amministr.;Commissione Di Gestione E Amministrazione Relative Al D.A. N. 00000/000000000000;Conto 0000/00000000;CONTABILIZZATO;Imposte, bolli e commissioni;EUR;-10;;
29/06/2026;Cedole;Cedole Su EUR 35.00000 BTPIT 28GN30 160;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;122,5;;
29/06/2026;Cedole;Cedole Su EUR 35.00000 BTPIT 28GN30 160;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;975,69;;
25/05/2026;Cedole;Cedole Su EUR 15.00000 BTPPIU 25FB33 SU;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;93,52;;
18/05/2026;Cedole;Cedole Su EUR 50.00000 BTPFUT 17NV28 SU;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;131,25;;
25/02/2026;Cedole;Cedole Su EUR 15.00000 BTPPIU 25FB33 SU;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;93,52;;
02/01/2026;Commissione Di Gest. E Amministr.;Commissione Di Gestione E Amministrazione Relative Al D.A. N. 00000/000000000000;Conto 0000/00000000;CONTABILIZZATO;Imposte, bolli e commissioni;EUR;-10;;
29/12/2025;Cedole;Cedole Su EUR 35.00000 BTPIT 28GN30 160;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;277,72;;
25/11/2025;Cedole;Cedole Su EUR 15.00000 BTPPIU 25FB33 SU;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;93,52;;
17/11/2025;Cedole;Cedole Su EUR 50.00000 BTPFUT 17NV28 SU;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;131,25;;
25/08/2025;Cedole;Cedole Su EUR 15.00000 BTPPIU 25FB33 SU;Conto 0000/00000000;CONTABILIZZATO;Interessi e cedole;EUR;93,52;;
